Sarangaa Teri Yaad Mein,Saaranga,Kalyan Yaman,not available.txt
Tum Bin Jeevan Kaise,Anita,Kalyan Yaman,not available.txt
Dil E Betab Ko Seenese,Palaki,Kalyan Yaman,not available.txt
Roj Roj Dali Dali Kya Likh Jaye,Angoor,Kalyan Yaman,not available.txt
Lagta Nahin Hai Dil Mera,Laal Quila,Kalyan Yaman,not available.txt
Bade Bhole Ho,,Kalyan Yaman,not available.txt
Ansoo Samjh Ke Kyun Mujhe,Chhaaya,Kalyan Yaman,not available.txt
Beeti Na Beetai Raina,Parichay,Kalyan Yaman,not available.txt
Seene Mein Sulagte Hai Armaan,Tarana,Kalyan Yaman,not available.txt
Ghar Se Nikalte Hi,Papa Kehte Hain,Kalyan Yaman,not available.txt
Dhadakte Dil Ka Payam Le Lo,,Kalyan Yaman,not available.txt
Sansarse Bhage Phirte Ho,Chitralekha,Kalyan Yaman,not available.txt
Tum Gagan Ke Chandrama,Sati Savitri,Kalyan Yaman,not available.txt
Is Mod Se Aate Hai,Aandhi,Kalyan Yaman,not available.txt
Aye Ho Meri Jindagi Mein,Raja Hindustani,Kalyan Yaman,not available.txt
Phir Na Kije Meri Gustakh...Dekhiye Apne Phir Pyar Se,Phir Subah Hogi,Kalyan Yaman,not available.txt
Intazaar Aur Bhi,,Kalyan Yaman,not available.txt
Dil Diya Dard Liya,Dil Diya Dard Liya,Kalyan Yaman,not available.txt
